sample_name	condition_1	condition_2	sra	fq1	fq2
SRR15206254	WT	30C	SRR15206254.sra		
SRR15206255	WT	30C	SRR15206255.sra		
SRR15206256	WT	30C	SRR15206256.sra		
SRR15206257	AKO	30C	SRR15206257.sra		
SRR15206258	AKO	30C	SRR15206258.sra		
SRR15206259	AKO	30C	SRR15206259.sra		
SRR15206260	WT	8C	SRR15206260.sra		
SRR15206261	WT	8C	SRR15206261.sra		
SRR15206262	WT	8C	SRR15206262.sra		
SRR15206263	AKO	8C	SRR15206263.sra		
SRR15206264	AKO	8C	SRR15206264.sra		
SRR15206265	AKO	8C	SRR15206265.sra		
